Designator,Footprint,Quantity,Value,LCSC Part #
AE301,Rainsun-AN9520-245,1,Antenna,C99665
"C201, C202, C204, C306, C307, C308, C309, C310, C311, C313, C401",0402,11,100n,C1525
"C203, C205, C305, C312",0603,4,10u,C19702
"C301, C303",0402,2,10pF,C32949
"C302, C304",0402,2,3p,C1564
D201,0805,1,3.3V,C2297
D301,0805,1,RUN,C2297
J301,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,C165948
J401,FanPinHeader_1x04_P2.54mm_Vertical,1,Fan1,C240840
J402,FanPinHeader_1x04_P2.54mm_Vertical,1,Fan2,C240840
J403,FanPinHeader_1x04_P2.54mm_Vertical,1,Fan3,C240840
J404,FanPinHeader_1x04_P2.54mm_Vertical,1,Fan4,C240840
J405,FanPinHeader_1x04_P2.54mm_Vertical,1,Fan5,C240840
"L201, L301, L302",0402,3,2n2,C412264
"R201, R308",0402,2,1k,C11702
"R301, R302, R304, R305, R306, R307",0402,6,5k1,C25905
R303,0402,1,22R,C25092
"R401, R402",0402,2,10k,C25744
"R403, R404, R405, R406, R407, R408, R409",0402,7,2k2,C25879
SW301,SW_TL3365AF180QG,1,RESET,C2886926
SW302,SW_TL3365AF180QG,1,BOOT,C2886926
U201,SOT-23-5,1,SPX3819M5-L-3-3,C9055
U301,SOT-23-6,1,USBLC6-2SC6,C5261088
U302,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,1,ESP32-C3FH4,C2858491
U401,QFN-16-1EP_4x4mm_P0.65mm_EP2.1x2.1mm,1,EMC2305-1-AP-TR,
Y301,Crystal_SMD_2520-4Pin_2.5x2.0mm,1,40 MHz,C426970
